################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.7645707641801606E-01   4.4412756869987229E+00   9.1681188277001746E-01   1.8312683550221318E-01
         1          2   0.0000000000000000E+00   1.5083606873474731E+00   6.0656239235777432E-01   2.8492256965840163E-01
         1          3   1.2768976327756887E-01   3.6313516660686442E+00   7.1149807715232938E-01   1.5187859689438268E-01
         1          4   0.0000000000000000E+00   1.2514509631823956E+00   5.0425783798893764E-01   2.3756830858013223E-01
         1          5   7.0842866368962767E-02   2.5765862503259753E+00   4.4901273161544925E-01   1.1073970918485510E-01
         1          6   0.0000000000000000E+00   9.1819215097307427E-01   3.6792896988944240E-01   1.7450804784222532E-01
         1          7   2.4023496472619463E-02   1.4874211496701768E+00   1.9883033809509670E-01   6.7448290713454470E-02
         1          8   0.0000000000000000E+00   5.6603543656229405E-01   2.1874402231938908E-01   1.0499028440713250E-01
         1          9   2.4609833823675885E-03   6.3922640837529543E-01   5.0632923681903766E-02   3.2480512313779006E-02
         1         10   0.0000000000000000E+00   2.5737217233987442E-01   9.1436273224120915E-02   4.4674313289099495E-02
         1         11   3.7971769451739662E-05   1.6194444019043244E-01   6.9526175300219017E-03   9.8852368810592017E-03
         1         12   0.0000000000000000E+00   6.9190121087456508E-02   1.9229165239906323E-02   9.9539589651430720E-03
         1         13   1.8970752268461669E-03   4.6573890900197430E+00   1.6785339363672797E-01   8.0849107846430138E-02
         1         14   0.0000000000000000E+00   8.1412677180717652E-01   2.3779056935460857E-01   1.3395478440534161E-01
         1         15   0.0000000000000000E+00   5.6940104931094748E-01   1.0117728300721865E-01   7.8335516418219467E-02
         1         16   3.4809390308515979E-03   4.3354296189856347E+00   1.4215258676804049E-01   6.9166197085479983E-02
         1         17   0.0000000000000000E+00   8.0610579812778105E-01   2.4269654045472863E-01   1.2779895036846498E-01
         1         18   0.0000000000000000E+00   4.4408937353697153E-01   7.8378912836501696E-02   5.9907048137715253E-02
         1         19   2.8988127060217757E-04   1.8626701758171043E+00   6.6786131043749211E-02   3.2502457255626116E-02
         1         20   0.0000000000000000E+00   3.3119663830612583E-01   9.4489038554461377E-02   5.5344120678847891E-02
         1         21   0.0000000000000000E+00   2.2337917574423760E-01   3.5683329907573273E-02   2.9818462826283438E-02
         1         22   1.3404365765060482E-03   1.5414140667690674E+00   4.1800644189967345E-02   2.1361229262499570E-02
         1         23   0.0000000000000000E+00   3.1987022778390628E-01   9.6597104836854797E-02   4.8932939451191808E-02
         1         24   0.0000000000000000E+00   1.1542809635717904E-01   1.7283934631037345E-02   1.4443953692168420E-02
         1         25   1.7933893112393190E-09   3.9562748802813796E-01   1.4934199803952657E-02   7.0810539253222419E-03
         1         26   0.0000000000000000E+00   1.0696054348160706E-01   2.0794676868113010E-02   1.4461298872652175E-02
         1         27   0.0000000000000000E+00   5.2527691190962990E-02   3.3514784014626480E-03   3.6530688643632348E-03
         1         28   1.3354529121148492E-05   1.5530501462595442E-01   9.3444302376760342E-04   1.3507279896536170E-03
         1         29   0.0000000000000000E+00   2.9718816507320941E-02   7.4562562067505790E-03   4.0672639196123080E-03
         1         30   0.0000000000000000E+00   7.3334056895715434E-03   5.1931513856148825E-04   6.7734577942244476E-04
         1         31   8.6492148099204540E-04   3.0670832867660174E+00   9.4176102963804284E-02   5.0429061605041355E-02
         1         32   0.0000000000000000E+00   5.1870032041756231E-01   1.4532192087139148E-01   8.3549784386184156E-02
         1         33   0.0000000000000000E+00   3.9514515109614007E-01   6.8347312722051703E-02   5.3437710969336104E-02
         1         34   1.5947737422160526E-03   2.8260447388544518E+00   7.9226032233793098E-02   4.2648408200357132E-02
         1         35   0.0000000000000000E+00   5.1057567015625993E-01   1.4816294551816508E-01   7.9173090071556915E-02
         1         36   0.0000000000000000E+00   3.0189484366117686E-01   5.2014121022811756E-02   4.0065559306380338E-02
         1         37   1.2966819718805109E-04   1.2265735463494536E+00   3.7416076703833345E-02   2.0241124604120506E-02
         1         38   0.0000000000000000E+00   2.1209391436460590E-01   5.7676288997825252E-02   3.4713708052298071E-02
         1         39   0.0000000000000000E+00   1.5424432254879328E-01   2.3708845786988460E-02   2.0226524628922979E-02
         1         40   6.1161303640016327E-04   9.8617664465143917E-01   2.2987208347674357E-02   1.2896673855715357E-02
         1         41   0.0000000000000000E+00   2.0221514687840500E-01   5.8701571810411586E-02   3.0160749973936724E-02
         1         42   0.0000000000000000E+00   7.4651754667106746E-02   1.0745425805591456E-02   9.1575679101091878E-03
         1         43   6.5285753633190382E-10   2.6406971591791684E-01   8.3073983575573315E-03   4.4324831301416198E-03
         1         44   0.0000000000000000E+00   7.4706866829798158E-02   1.2876860929308322E-02   9.4290215139651197E-03
         1         45   0.0000000000000000E+00   3.8181920971179804E-02   1.9341223119353069E-03   2.1999756445974837E-03
         1         46   5.3234561693110225E-06   8.8863582545356160E-02   4.7864417978553408E-04   7.4756258652112378E-04
         1         47   0.0000000000000000E+00   1.6568294926490833E-02   4.0618228367196750E-03   2.2303720310950870E-03
         1         48   0.0000000000000000E+00   4.0196823837130909E-03   2.5492703838199149E-04   3.4361409995471817E-04
         1         49   1.9799806033256304E-04   1.4930712746525086E+00   3.2725520933205396E-02   2.1642006339680751E-02
         1         50   0.0000000000000000E+00   2.3012354726433359E-01   5.9325384166799555E-02   3.5622762655005996E-02
         1         51   0.0000000000000000E+00   2.1023593608648983E-01   3.4256170694986383E-02   2.7260691843410033E-02
         1         52   3.7183702552126286E-04   1.3496158279899599E+00   2.7168570906926221E-02   1.7896293295210829E-02
         1         53   0.0000000000000000E+00   2.2273093172797517E-01   6.0171165574264350E-02   3.3270206649894898E-02
         1         54   0.0000000000000000E+00   1.5461204836779510E-01   2.5415386710602141E-02   1.9895556838604136E-02
         1         55   2.8506159402980224E-05   5.9700954958044183E-01   1.2948123797632721E-02   8.6362583261953476E-03
         1         56   0.0000000000000000E+00   9.5036476440263182E-02   2.3473819616934819E-02   1.4941436714177503E-02
         1         57   0.0000000000000000E+00   8.0885666368959067E-02   1.1584642611511783E-02   1.0249270976789474E-02
         1         58   1.4250031998250910E-04   4.5409615433595496E-01   7.6838453627275692E-03   5.2057341338920685E-03
         1         59   0.0000000000000000E+00   8.7949751449290278E-02   2.3593094736317620E-02   1.2552194099694729E-02
         1         60   0.0000000000000000E+00   3.5281923821040062E-02   4.7335817973567550E-03   4.1996757367647559E-03
         1         61   1.1757427183096729E-10   1.3175264476500362E-01   2.8203193193964463E-03   1.9234095208472005E-03
         1         62   0.0000000000000000E+00   3.9270137626103492E-02   5.3575617209832976E-03   4.3525327650283706E-03
         1         63   0.0000000000000000E+00   2.0947756650975959E-02   7.2184008614853694E-04   9.1752327039191313E-04
         1         64   1.0025664386478573E-06   3.1968708448476317E-02   1.4634448217218246E-04   2.6416738323140277E-04
         1         65   0.0000000000000000E+00   5.9991555800878926E-03   1.3654650897055819E-03   7.5959768182257993E-04
         1         66   0.0000000000000000E+00   1.3161307366790641E-03   6.8198981149567828E-05   9.8090285445174948E-05
         1         67   1.2583226419088088E-05   4.5741512034326759E-01   5.0872758134348061E-03   5.1566548486957371E-03
         1         68   0.0000000000000000E+00   5.6927937915568043E-02   1.1914229619172687E-02   7.9293310293277741E-03
         1         69   0.0000000000000000E+00   7.1646292061288239E-02   1.0314917575328552E-02   8.4561355800616134E-03
         1         70   1.9345918702876633E-05   4.0103820473211443E-01   4.0883704754648437E-03   4.0568823158737910E-03
         1         71   0.0000000000000000E+00   5.1619729268493640E-02   1.1820456731638016E-02   7.1206050695002774E-03
         1         72   0.0000000000000000E+00   4.9993054176742567E-02   7.4729918741847211E-03   6.0436193763683888E-03
         1         73   1.6465952299418888E-06   1.8281852371242402E-01   1.9788645529263457E-03   2.0042773403768791E-03
         1         74   0.0000000000000000E+00   2.5166791518048084E-02   4.6730907803184457E-03   3.3566326325780915E-03
         1         75   0.0000000000000000E+00   2.6996293788180518E-02   3.3863882620576253E-03   3.1647727789612468E-03
         1         76   6.8104543108545571E-06   1.2681311583006774E-01   1.0863701810346559E-03   1.0862435583002374E-03
         1         77   0.0000000000000000E+00   1.9561062902987595E-02   4.5092212389166372E-03   2.6268262936791683E-03
         1         78   0.0000000000000000E+00   1.0338865220110008E-02   1.2362368721525218E-03   1.1799499188299741E-03
         1         79   7.2811649983718679E-12   4.1741728701916642E-02   4.0606912240073831E-04   4.6926517559197750E-04
         1         80   0.0000000000000000E+00   1.2447689659167012E-02   1.0894213363618879E-03   1.0910973367597460E-03
         1         81   0.0000000000000000E+00   6.8815960270603143E-03   1.3785466979878043E-04   2.3074828418435890E-04
         1         82   4.0225721211881453E-08   5.1188042346166519E-03   1.9942336619754826E-05   4.5347761687868117E-05
         1         83   0.0000000000000000E+00   1.0481940702544779E-03   2.0650300572029563E-04   1.1944824581036386E-04
         1         84   0.0000000000000000E+00   1.7029726132393696E-04   6.2821858941559502E-06   1.0291510765034758E-05
         1         85   7.2097018804251999E-08   6.7048590041752870E-02   2.6947980363822746E-04   5.7780168222760521E-04
         1         86   0.0000000000000000E+00   7.2345954579983275E-03   7.1953887142779378E-04   6.4335462349292228E-04
         1         87   0.0000000000000000E+00   1.0993288801394156E-02   1.2334836196451736E-03   1.0837849794667013E-03
         1         88   6.3252663612454160E-08   5.6932111942152794E-02   1.9571693645760557E-04   4.1175238773784626E-04
         1         89   0.0000000000000000E+00   4.8259588807444843E-03   6.5196368253184157E-04   4.9599335916624234E-04
         1         90   0.0000000000000000E+00   7.3499040713165152E-03   8.8980954045401995E-04   7.8183433651842513E-04
         1         91   7.6919838706241134E-09   2.6775207531463712E-02   9.5886873766377960E-05   2.0605999432088572E-04
         1         92   0.0000000000000000E+00   2.8107178440803827E-03   2.7393708649385828E-04   2.6133109703965264E-04
         1         93   0.0000000000000000E+00   4.6365700440287741E-03   3.9531952093024901E-04   4.0481032553037519E-04
         1         94   2.0264903310788044E-08   1.6784032419288414E-02   4.0611279506800173E-05   9.1446415946886666E-05
         1         95   0.0000000000000000E+00   1.5873922688097845E-03   2.2546789928181048E-04   1.6548461920301298E-04
         1         96   0.0000000000000000E+00   1.4588433762630080E-03   1.3811103543958899E-04   1.4932761699632454E-04
         1         97   6.8875513543668900E-14   6.1890958609065122E-03   1.5407315915974672E-05   5.0140747255745797E-05
         1         98   0.0000000000000000E+00   1.5551668991572625E-03   6.1405273327253272E-05   9.1766486504700948E-05
         1         99   0.0000000000000000E+00   1.2042954628659135E-03   1.1105922666260189E-05   2.7047490441210423E-05
         1        100   1.2747436805718128E-10   2.2777203910760593E-04   7.9501772400779263E-07   2.3978455477261146E-06
         1        101   0.0000000000000000E+00   5.7487899873081717E-05   8.2482445228158117E-06   5.5985617639311615E-06
         1        102   0.0000000000000000E+00   1.1264622873814387E-05   1.1654030570633015E-07   2.4806050858718627E-07
         1        103   2.3216258066564788E-12   2.4019792642136664E-03   5.4170276282309603E-06   2.1421275038234203E-05
         1        104   0.0000000000000000E+00   3.7299373825377702E-04   7.6396279131870380E-06   1.4354497806009813E-05
         1        105   0.0000000000000000E+00   4.4805942974608301E-04   2.5474653574371635E-05   2.8236441356588211E-05
         1        106   1.6801540497935887E-12   2.0029728452178063E-03   3.3671599042551691E-06   1.3780243904943197E-05
         1        107   0.0000000000000000E+00   2.0681411129758119E-04   5.1127856413077231E-06   7.8726923184307538E-06
         1        108   0.0000000000000000E+00   2.8422563694763909E-04   1.8766087324194821E-05   2.1260667072411269E-05
         1        109   3.1622344729367204E-13   9.5959808361782977E-04   1.5836318434614010E-06   6.9795349262895401E-06
         1        110   0.0000000000000000E+00   1.2446395239807371E-04   2.6445264315771485E-06   4.9900087859760942E-06
         1        111   0.0000000000000000E+00   1.9440351899258478E-04   7.9877168517884378E-06   1.0515445763721200E-05
         1        112   4.4330119554862853E-13   5.6812590885085043E-04   3.4037829186252039E-07   2.4472692829027067E-06
         1        113   0.0000000000000000E+00   2.8231906000647550E-05   1.0893379900674328E-06   1.3737742558201261E-06
         1        114   0.0000000000000000E+00   6.9598851908140704E-05   2.9315977686953369E-06   4.1717032080610220E-06
         1        115   1.2952388088846404E-17   2.1144056007928370E-04   9.7501113406583074E-08   1.3382393316299805E-06
         1        116   0.0000000000000000E+00   3.3745557892982872E-05   3.7135512298552871E-07   1.0856913077824934E-06
         1        117   0.0000000000000000E+00   4.3977187267719285E-05   2.0233726878528230E-07   6.9805769282701288E-07
         1        118   2.3770891744529036E-15   2.3441062964602664E-06   3.6642412807892007E-09   2.0135126689109592E-08
         1        119   0.0000000000000000E+00   4.9205818590196691E-07   2.8554490092536413E-08   3.0594104956405556E-08
         1        120   0.0000000000000000E+00   4.5672664309411038E-07   6.3785793224076982E-10   3.3744785516236696E-09
         2          1   2.9549053107545181E-01   2.4111344397244143E+00   1.2207631542102602E+00   1.6509236424372584E-01
         2          2   0.0000000000000000E+00   1.1743003282941167E+00   4.9093342763734948E-01   1.6776548662862775E-01
         2          3   2.3434236797669719E-01   1.9456613859806575E+00   1.0148657361459512E+00   1.3438701263041278E-01
         2          4   0.0000000000000000E+00   9.1918316255443189E-01   3.7650332850549878E-01   1.3454773770736392E-01
         2          5   1.5903364179787965E-01   1.3479412874454642E+00   7.4049122640402476E-01   9.6114667919137808E-02
         2          6   0.0000000000000000E+00   6.0443791528421853E-01   2.3250693838832476E-01   9.1420601729759368E-02
         2          7   8.7229419374551809E-02   7.4448698912035427E-01   4.4024266261095441E-01   5.9246178137195321E-02
         2          8   0.0000000000000000E+00   3.2797479791239675E-01   9.9335464021536618E-02   4.7261861882434607E-02
         2          9   3.5105264151826285E-02   3.2934041141562126E-01   1.8402399277743223E-01   3.0551989098418508E-02
         2         10   0.0000000000000000E+00   1.2643454952662628E-01   2.3337593403495196E-02   1.5412988062790157E-02
         2         11   7.5003266170245910E-03   9.5284839969972404E-02   3.8700481115967876E-02   9.7793736363360490E-03
         2         12   0.0000000000000000E+00   3.2355119505222386E-02   2.0906333646820360E-03   2.2081685333931373E-03
         2         13   4.4734020473772796E-03   1.2938615383937044E+00   3.8135715775667728E-01   9.8418360811593844E-02
         2         14   0.0000000000000000E+00   8.1148407564742242E-01   2.5921304443170812E-01   1.1799112935634851E-01
         2         15   0.0000000000000000E+00   2.7706288044582794E-01   4.8257512616911545E-02   3.5134517508723782E-02
         2         16   1.2773286242634093E-02   1.1396440903338383E+00   2.8716907447907974E-01   8.4400109380949523E-02
         2         17   0.0000000000000000E+00   8.0048326197719200E-01   2.5923950548518382E-01   1.1532183484671110E-01
         2         18   0.0000000000000000E+00   2.3437948279164766E-01   3.7284005649079251E-02   2.8591585056034454E-02
         2         19   2.2713232063216186E-04   5.2777335974724882E-01   1.5524110978781450E-01   4.0016899036250317E-02
         2         20   0.0000000000000000E+00   3.2930893471375255E-01   1.0333024216386898E-01   4.6479921406026234E-02
         2         21   0.0000000000000000E+00   1.1261709110622108E-01   2.1593027698142992E-02   1.4661563404404426E-02
         2         22   4.6541077322735953E-03   3.7355591186762371E-01   6.3535826432094128E-02   2.5766358364248683E-02
         2         23   0.0000000000000000E+00   3.1402641180298579E-01   1.0272120794959200E-01   4.3531599517449331E-02
         2         24   0.0000000000000000E+00   6.8634992632162412E-02   1.0585795034172545E-02   7.9794885587251459E-03
         2         25   1.2304435536575980E-07   1.8746290766348717E-01   7.8122349868631868E-02   2.2996943009116144E-02
         2         26   0.0000000000000000E+00   6.9194780274346127E-02   1.0392128937726586E-02   6.0280201046504526E-03
         2         27   0.0000000000000000E+00   5.2532747161335908E-02   1.0072270533727157E-02   7.1373285883559630E-03
         2         28   5.4614882081487811E-05   3.3245460274908094E-02   1.5261184901830304E-03   1.7804984947405109E-03
         2         29   0.0000000000000000E+00   3.3363924710341733E-02   8.2168827308701179E-03   3.9143018502920696E-03
         2         30   0.0000000000000000E+00   2.6890667931301908E-03   2.0323791314683955E-04   2.4659569529648310E-04
         2         31   2.3187799414225202E-03   8.2966017519776136E-01   2.6022140677185124E-01   6.6396789139635204E-02
         2         32   0.0000000000000000E+00   5.1828274796958929E-01   1.5825983467796487E-01   7.6413693089848106E-02
         2         33   0.0000000000000000E+00   1.6327675687860951E-01   2.6398607579873053E-02   2.0753819647809445E-02
         2         34   6.7948782291407947E-03   7.1786171829923462E-01   1.9106448171183246E-01   5.5254425182538348E-02
         2         35   0.0000000000000000E+00   5.0907327474139663E-01   1.5811182205021010E-01   7.4419739140701810E-02
         2         36   0.0000000000000000E+00   1.3638825613976904E-01   2.0104855216724404E-02   1.6760135297385369E-02
         2         37   9.8430348764198678E-05   3.3931271828207227E-01   1.0610020086419381E-01   2.7093115661517279E-02
         2         38   0.0000000000000000E+00   2.1103569824462090E-01   6.3011684566706486E-02   3.0122756281430577E-02
         2         39   0.0000000000000000E+00   6.4766657341794445E-02   1.1914120025932949E-02   8.7269708394729275E-03
         2         40   2.6959660231853839E-03   2.2751426156534102E-01   3.8981810598718955E-02   1.5832214827528286E-02
         2         41   0.0000000000000000E+00   1.9743040620304436E-01   6.2416633048528201E-02   2.7900016396332425E-02
         2         42   0.0000000000000000E+00   3.8406744551570136E-02   5.5694949453365446E-03   4.5555148518215439E-03
         2         43   5.0610678529834910E-08   1.3078814044495402E-01   5.6669130599048691E-02   1.7259326560585469E-02
         2         44   0.0000000000000000E+00   4.8574036056715036E-02   5.7982734357690403E-03   3.6381099378464429E-03
         2         45   0.0000000000000000E+00   3.5067011143137365E-02   5.8397011649530834E-03   4.5366097899443916E-03
         2         46   2.3888352389822996E-05   1.7608463661071300E-02   7.9021869036144735E-04   1.0132950350501546E-03
         2         47   0.0000000000000000E+00   1.8564913363965777E-02   4.4238429634584284E-03   2.1401537735978196E-03
         2         48   0.0000000000000000E+00   1.4259094739292745E-03   9.5061900499909520E-05   1.2196935994211215E-04
         2         49   6.9874975222195934E-04   3.8352225125540318E-01   1.3255079284568694E-01   3.4321593432012167E-02
         2         50   0.0000000000000000E+00   2.4050786836136329E-01   6.5175133525936735E-02   3.5427531057867029E-02
         2         51   0.0000000000000000E+00   7.2009527960741129E-02   8.8238318190027309E-03   8.0195629195696783E-03
         2         52   2.1146885520275183E-03   3.2085454930116197E-01   9.3734938820768859E-02   2.6940975396757060E-02
         2         53   0.0000000000000000E+00   2.3522404644133946E-01   6.4987026845444371E-02   3.4289932007392838E-02
         2         54   0.0000000000000000E+00   5.1826186774739436E-02   6.5558823090365584E-03   6.4293479457511590E-03
         2         55   2.1628257800705188E-05   1.5778540569151803E-01   5.4142815882305524E-02   1.4075636429690131E-02
         2         56   0.0000000000000000E+00   9.8426236684706639E-02   2.5897936418530994E-02   1.3993402729169591E-02
         2         57   0.0000000000000000E+00   2.7116293974396459E-02   4.0484960862811493E-03   3.4439154163897318E-03
         2         58   9.3528654977225823E-04   9.5117703904047765E-02   1.6682567807780661E-02   6.7172293514081933E-03
         2         59   0.0000000000000000E+00   8.9901444268620623E-02   2.5473670258147511E-02   1.2699590060280855E-02
         2         60   0.0000000000000000E+00   1.3457343120381264E-02   1.7393440032633823E-03   1.6950936890428056E-03
         2         61   9.3608174927273304E-09   7.8502728597399499E-02   3.1250487853899903E-02   1.0172630250940970E-02
         2         62   0.0000000000000000E+00   2.5116756881411829E-02   2.0361765299451383E-03   1.5106989280981465E-03
         2         63   0.0000000000000000E+00   1.7386694998528344E-02   2.1550173580344467E-03   1.9985711735519334E-03
         2         64   4.9047780850066781E-06   5.5391073585345871E-03   2.3933227475993462E-04   3.6497517523180267E-04
         2         65   0.0000000000000000E+00   6.3438660822910933E-03   1.4379890419421047E-03   7.1581694634892878E-04
         2         66   0.0000000000000000E+00   4.5785928598115431E-04   2.3475766776607064E-05   3.3584667585520022E-05
         2         67   7.9320658215494661E-05   1.0979830958728752E-01   4.0872090381712398E-02   1.1899451213115581E-02
         2         68   0.0000000000000000E+00   6.8781309113568251E-02   1.3676674574871745E-02   9.3083608967545681E-03
