################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4833298614092736E+00 a         1     0     1     1     1
  7.0866222946862678E-01 a         2     0     1     1     2
  9.9386544550339231E+00 a         3     0     1     1     3
  1.0630193095819598E+00 a         4     0     1     1     4
  1.1153898549744609E+01 a         5     0     1     1     5
  7.7248834643084887E+00 a         6     0     1     1     6
  2.2198576854943877E+00 a         7     0     1     1     7
  3.3601005361356382E+00 a         8     0     1     1     8
  8.9950015641141523E-01 a         9     0     1     1     9
 -3.0828402111805744E+00 a        10     0     1     1    10
 -3.7869013270490806E+00 a        11     0     1     1    11
  4.4020722798572329E+00 a        12     0     1     1    12
  2.8714235529473315E+00 a        13     0     1     1    13
  4.3025658512825116E+00 a        14     0     1     1    14
 -2.5920722838714410E+00 a        15     0     1     1    15
 -5.9884181300734989E+00 a        16     0     1     1    16
 -6.6375022455080990E-01 a        17     0     1     1    17
 -9.7993370581895467E-01 a        18     0     1     1    18
 -1.3948745422985476E+00 a        19     0     1     1    19
  3.9679888051833778E+00 a        20     0     1     1    20
 -1.0487247662913092E-01 a        21     0     1     1    21
 -9.0679445318507934E+00 a        22     0     1     1    22
 -8.7193419917471058E+00 a        23     0     1     1    23
  9.4572568600603741E+00 a        24     0     1     1    24
 -3.2545035456854952E+00 a        25     0     2     1     1
  8.8298198850928440E+00 a        26     0     2     1     2
  1.4444817589264565E+01 a        27     0     2     1     3
 -7.9517172601954123E+00 a        28     0     2     1     4
  9.6849874330971080E+00 a        29     0     2     1     5
  7.4563940841262726E+00 a        30     0     2     1     6
  9.6786491056323332E-01 a        31     0     2     1     7
  1.0289788638718441E+01 a        32     0     2     1     8
 -1.6505327781353650E+01 a        33     0     2     1     9
 -1.5363033314727215E+00 a        34     0     2     1    10
  1.8134362647008648E+00 a        35     0     2     1    11
 -3.9883910754524474E+00 a        36     0     2     1    12
 -1.0612177190012652E+01 a        37     0     2     1    13
  1.1959775674495910E+01 a        38     0     2     1    14
  1.4405758283834171E+01 a        39     0     2     1    15
 -4.4223033129298308E+00 a        40     0     2     1    16
 -7.0887991951789662E+00 a        41     0     2     1    17
 -2.0421872093611821E+01 a        42     0     2     1    18
 -2.5975534963972458E-01 a        43     0     2     1    19
  4.8912537644937926E+00 a        44     0     2     1    20
  2.4270785398747967E+00 a        45     0     2     1    21
  4.3190018932995917E+00 a        46     0     2     1    22
  1.1246884787339857E+00 a        47     0     2     1    23
  1.0987565175608648E+01 a        48     0     2     1    24
 -5.0382756853134403E+00 a        49     0     3     1     1
 -1.1237340651549721E+00 a        50     0     3     1     2
 -3.0393781487603944E+00 a        51     0     3     1     3
 -2.0717283240249103E+00 a        52     0     3     1     4
 -9.1257880698547460E+00 a        53     0     3     1     5
 -8.7182126211828415E+00 a        54     0     3     1     6
 -4.4402657330275241E+00 a        55     0     3     1     7
 -8.9580660075414933E+00 a        56     0     3     1     8
 -3.6176768662110064E+00 a        57     0     3     1     9
 -3.0247141981297827E+00 a        58     0     3     1    10
  4.5756886592624522E+00 a        59     0     3     1    11
 -2.7685140191575046E+00 a        60     0     3     1    12
 -2.1765429978715125E+00 a        61     0     3     1    13
 -7.0290491139061659E+00 a        62     0     3     1    14
  1.4897355717878449E-01 a        63     0     3     1    15
  3.8022167911247600E+00 a        64     0     3     1    16
 -1.4513883808726564E+00 a        65     0     3     1    17
 -1.8278324216531561E+00 a        66     0     3     1    18
  1.4585195668655460E+00 a        67     0     3     1    19
 -2.8926788330382065E+00 a        68     0     3     1    20
 -2.0038400896300192E+00 a        69     0     3     1    21
  8.5782668854862880E+00 a        70     0     3     1    22
  6.0729810208664547E+00 a        71     0     3     1    23
 -6.4728501743191087E+00 a        72     0     3     1    24
 -3.0795138843010252E+00 a        73     0     4     1     1
 -1.1680107393054891E+01 a        74     0     4     1     2
 -7.1653444588808082E+00 a        75     0     4     1     3
  1.0947217415557089E+01 a        76     0     4     1     4
 -1.1533407153159484E+01 a        77     0     4     1     5
 -4.2731696804757513E-01 a        78     0     4     1     6
  3.2061080127870398E+00 a        79     0     4     1     7
 -1.4414032760198417E+01 a        80     0     4     1     8
  1.2460863568998230E+01 a        81     0     4     1     9
 -4.2761301792008819E+00 a        82     0     4     1    10
 -1.4656290869787374E+00 a        83     0     4     1    11
 -3.5732350426694244E+00 a        84     0     4     1    12
  1.3414654191905562E+01 a        85     0     4     1    13
 -5.5255467573263060E+00 a        86     0     4     1    14
 -7.5271909689338274E+00 a        87     0     4     1    15
  2.9245775330514734E+00 a        88     0     4     1    16
  6.6964758575605750E+00 a        89     0     4     1    17
  7.3399709739652064E+00 a        90     0     4     1    18
  2.3369512042284997E-02 a        91     0     4     1    19
 -9.9635195659568012E+00 a        92     0     4     1    20
 -7.2664997335695247E+00 a        93     0     4     1    21
  4.6066883699894126E+00 a        94     0     4     1    22
  1.9521009454826779E-01 a        95     0     4     1    23
 -6.1912124550107528E+00 a        96     0     4     1    24
 -8.4201211562985478E-01 a        97     0     5     1     1
 -2.6304087650615621E-01 a        98     0     5     1     2
 -7.4544554372735687E+00 a        99     0     5     1     3
  5.7415716990775714E+00 a       100     0     5     1     4
 -1.2330934819993299E+01 a       101     0     5     1     5
 -9.4885760836057695E+00 a       102     0     5     1     6
 -5.4201922648716083E+00 a       103     0     5     1     7
 -1.2474032870269693E+00 a       104     0     5     1     8
 -1.0433581191467500E+00 a       105     0     5     1     9
  1.1490092374455028E+00 a       106     0     5     1    10
  2.0461045986616635E+00 a       107     0     5     1    11
 -6.7949724635764630E+00 a       108     0     5     1    12
 -7.6083279567053026E+00 a       109     0     5     1    13
 -4.5519809186304219E+00 a       110     0     5     1    14
  5.2378299889492403E+00 a       111     0     5     1    15
  6.1390866698960336E+00 a       112     0     5     1    16
 -6.1808456810704049E-01 a       113     0     5     1    17
  5.7640577215857269E-01 a       114     0     5     1    18
  2.4311399315471451E+00 a       115     0     5     1    19
 -7.4202249187454705E-01 a       116     0     5     1    20
 -1.7447240424032682E+00 a       117     0     5     1    21
  8.1773693891750039E+00 a       118     0     5     1    22
  3.5449709919122614E+00 a       119     0     5     1    23
 -1.2811092571374809E+01 a       120     0     5     1    24
 -6.3861842005597662E+00 a       121     0     6     1     1
 -6.7003205866172681E+00 a       122     0     6     1     2
 -1.6829969563548911E+01 a       123     0     6     1     3
  4.3141988255104975E+00 a       124     0     6     1     4
 -3.9110371310224030E+00 a       125     0     6     1     5
 -6.5698261028860143E+00 a       126     0     6     1     6
 -1.0402101620290041E+00 a       127     0     6     1     7
 -2.7400778232183596E+00 a       128     0     6     1     8
  8.9337538303426935E+00 a       129     0     6     1     9
  6.9546588125062145E+00 a       130     0     6     1    10
 -1.6808152729656374E+00 a       131     0     6     1    11
 -1.1057476091391574E+00 a       132     0     6     1    12
  4.1207971970762172E+00 a       133     0     6     1    13
 -7.1601256902655193E+00 a       134     0     6     1    14
 -1.4614198067122588E+01 a       135     0     6     1    15
  7.5250797148575117E+00 a       136     0     6     1    16
  9.1529108392502252E+00 a       137     0     6     1    17
  1.7018604887651914E+01 a       138     0     6     1    18
  1.0432640867930085E+00 a       139     0     6     1    19
  6.6254141126602595E-01 a       140     0     6     1    20
  3.0450797248686540E-01 a       141     0     6     1    21
 -8.0219507502499496E+00 a       142     0     6     1    22
 -1.2370582201797549E+00 a       143     0     6     1    23
 -9.4256873725095680E+00 a       144     0     6     1    24
  9.5905484943480932E+00 a       145     0     7     1     1
 -1.2042812855971752E+00 a       146     0     7     1     2
 -2.3848359251438778E+00 a       147     0     7     1     3
  2.8961239040049103E+00 a       148     0     7     1     4
  1.0503151602197528E+01 a       149     0     7     1     5
  1.1331980057397113E+01 a       150     0     7     1     6
  1.1558226412537151E+01 a       151     0     7     1     7
  1.4327468342381236E+01 a       152     0     7     1     8
  6.9898271623934871E+00 a       153     0     7     1     9
  1.5479970854526879E+01 a       154     0     7     1    10
 -8.9779117613244743E+00 a       155     0     7     1    11
